Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,121793918385575,1684598668137,0.010585105,-8.3999935E-4,0.9327751,0.36030245
Rot,121793918487190,1684598668137,0.010645773,-8.594839E-4,0.9327294,0.36041883
Rot,121793923271357,1684598668141,0.010667164,-8.650953E-4,0.93271625,0.36045235
Rot,121793923588596,1684598668142,0.010665625,-8.370213E-4,0.9327069,0.36047667
Rot,121793933408700,1684598668152,0.010679369,-8.325413E-4,0.9326979,0.36049953
Rot,121793933448440,1684598668152,0.010676363,-8.311193E-4,0.93270326,0.36048576
Rot,121793943274325,1684598668161,0.010674956,-8.3555205E-4,0.9327105,0.360467
Rot,121793943757815,1684598668162,0.010664104,-8.2038005E-4,0.93271965,0.36044374
Rot,121793953774898,1684598668172,0.010665407,-8.111706E-4,0.9327217,0.36043838
Rot,121793953827034,1684598668172,0.01063747,-8.10177E-4,0.9327514,0.36036235
Rot,121793963163284,1684598668181,0.010653197,-8.406926E-4,0.93275124,0.36036217
Rot,121793963327711,1684598668182,0.010661597,-8.677486E-4,0.9327599,0.36033946
Rot,121793972825732,1684598668191,0.010671667,-8.3073333E-4,0.93274224,0.36038506
Rot,121793972847034,1684598668191,0.010670971,-8.558562E-4,0.9327558,0.36034974
Rot,121793983377711,1684598668202,0.010663888,-8.2273403E-4,0.93275493,0.36035237
Rot,121793983400054,1684598668202,0.010640619,-7.9999614E-4,0.93277407,0.36030355
Rot,121793993058544,1684598668211,0.01065743,-8.0805464E-4,0.9327672,0.36032087
Rot,121793993124377,1684598668211,0.010679543,-8.1175857E-4,0.93274903,0.36036715
Rot,121793993414794,1684598668212,0.010681909,-8.109695E-4,0.9327512,0.36036158
Rot,121794003414638,1684598668222,0.010696191,-8.085197E-4,0.93274015,0.3603897
Rot,121794003455107,1684598668222,0.010659728,-8.2511874E-4,0.9327846,0.36027572
Rot,121794013156982,1684598668231,0.010660295,-8.472381E-4,0.93279815,0.3602406
Rot,121794013179377,1684598668231,0.010664179,-8.5657614E-4,0.9327996,0.36023664
Rot,121794023273544,1684598668241,0.010656847,-8.4704364E-4,0.93280715,0.3602174
Rot,121794023512242,1684598668242,0.010671538,-8.64814E-4,0.93280244,0.36022907
Rot,121794033680367,1684598668252,0.010665627,-8.6129154E-4,0.9328101,0.36020938
Rot,121794033725627,1684598668252,0.0106710335,-8.4176706E-4,0.93280077,0.36023352
Rot,121794042567867,1684598668261,0.0106747355,-8.4062445E-4,0.9328008,0.3602332
Rot,121794042685888,1684598668261,0.01066363,-8.5031637E-4,0.9328197,0.36018458
Rot,121794052619846,1684598668271,0.010681388,-8.548496E-4,0.9328063,0.3602187
Rot,121794052672607,1684598668271,0.010683765,-8.689885E-4,0.9328128,0.36020184
Rot,121794062642502,1684598668281,0.010681473,-8.723988E-4,0.9328237,0.3601737
Rot,121794062695627,1684598668281,0.010686471,-8.798329E-4,0.9328291,0.36015952
Rot,121794072445784,1684598668291,0.010688546,-8.780518E-4,0.9328314,0.3601535
Rot,121794072562919,1684598668291,0.010695313,-8.819024E-4,0.9328316,0.3601528
Rot,121794082604429,1684598668301,0.010692819,-8.860466E-4,0.9328405,0.36012974
Rot,121794082663075,1684598668301,0.010711568,-8.9287275E-4,0.932832,0.3601512
Rot,121794092688075,1684598668311,0.010712119,-9.0504065E-4,0.93284005,0.3601304
Rot,121794092747502,1684598668311,0.010721679,-9.036633E-4,0.93283474,0.36014384
Rot,121794102679169,1684598668321,0.010738665,-9.066033E-4,0.9328253,0.36016762
Rot,121794102746200,1684598668321,0.010752083,-9.080847E-4,0.93281686,0.36018923
Rot,121794112723596,1684598668331,0.010761087,-9.069231E-4,0.93281144,0.360203
Rot,121794112831773,1684598668331,0.010761879,-9.1928535E-4,0.9328169,0.3601888
Rot,121794122495315,1684598668341,0.010768859,-9.136446E-4,0.9328144,0.36019498
Rot,121794122586825,1684598668341,0.010763881,-9.071646E-4,0.9328246,0.36016876
Rot,121794134594377,1684598668353,0.010763019,-9.092281E-4,0.93282825,0.36015934
Rot,121794134686982,1684598668353,0.010759523,-9.030412E-4,0.9328314,0.3601514
Rot,121794143507242,1684598668362,0.010769585,-9.2959835E-4,0.9328347,0.36014247
Rot,121794143613857,1684598668362,0.010777869,-9.366502E-4,0.93283373,0.36014462
Rot,121794153540315,1684598668372,0.01077958,-9.3174825E-4,0.9328314,0.3601506
Rot,121794153591669,1684598668372,0.010775214,-9.2846144E-4,0.93284076,0.3601265
Rot,121794163760940,1684598668382,0.010774759,-9.255641E-4,0.93284744,0.3601093
Rot,121794163911356,1684598668382,0.010778052,-9.3216926E-4,0.9328467,0.36011103
Rot,121794173457659,1684598668392,0.010796688,-9.351208E-4,0.9328341,0.36014327
Rot,121794173509065,1684598668392,0.010800719,-9.4238535E-4,0.9328382,0.36013237
Rot,121794183194221,1684598668401,0.01080284,-9.5181057E-4,0.9328434,0.36011884
Rot,121794183479273,1684598668402,0.0108117275,-9.6182164E-4,0.932842,0.3601221
Rot,121794193179169,1684598668411,0.010814708,-9.634396E-4,0.9328438,0.3601174
Rot,121794193301096,1684598668411,0.010804875,-9.6480787E-4,0.93285555,0.36008725
Rot,121794204086617,1684598668422,0.010812487,-9.726575E-4,0.9328559,0.36008614
Rot,121794204134898,1684598668422,0.010820402,-9.6205174E-4,0.932849,0.36010385
Rot,121794213672242,1684598668432,0.010816844,-9.675221E-4,0.9328587,0.36007875
Rot,121794213766513,1684598668432,0.010811575,-9.737563E-4,0.93287086,0.36004743
Rot,121794223826981,1684598668442,0.010807387,-9.722594E-4,0.9328761,0.3600339
Rot,121794224621929,1684598668443,0.010819042,-9.811532E-4,0.9328721,0.36004385
Rot,121794233255523,1684598668451,0.010824067,-9.871577E-4,0.9328715,0.36004534
Rot,121794233299481,1684598668451,0.01082938,-9.970971E-4,0.9328752,0.36003554
Rot,121794244506148,1684598668463,0.010836387,-0.001001465,0.9328754,0.36003488
Rot,121794244565367,1684598668463,0.010835398,-0.0010016928,0.9328804,0.3600218
Rot,121794253341409,1684598668472,0.010834255,-0.0010004331,0.93288237,0.36001688
Rot,121794253379169,1684598668472,0.010836097,-9.981217E-4,0.9328849,0.36001036
Rot,121794262656981,1684598668481,0.010834586,-9.894529E-4,0.9328869,0.36000508
Rot,121794262711304,1684598668481,0.010839966,-9.975408E-4,0.932888,0.3600021
Rot,121794272447502,1684598668491,0.010842735,-9.926857E-4,0.9328914,0.35999307
Rot,121794272563284,1684598668491,0.010856425,-9.91791E-4,0.93288124,0.36001912
Rot,121794282370836,1684598668501,0.010857425,-9.832266E-4,0.9328795,0.36002353
Rot,121794282503023,1684598668501,0.010861297,-9.907521E-4,0.9328808,0.36002007
Rot,121794292220784,1684598668510,0.010868778,-9.994021E-4,0.9328795,0.36002317
Rot,121794292316981,1684598668510,0.010876539,-9.95299E-4,0.93287224,0.36004177
Rot,121794302606513,1684598668521,0.0108791655,-9.921715E-4,0.9328729,0.3600401
Rot,121794302642711,1684598668521,0.010884892,-9.947856E-4,0.9328702,0.36004674
Rot,121794312535575,1684598668531,0.0108979745,-9.93653E-4,0.9328633,0.36006427
Rot,121794312654429,1684598668531,0.0108964285,-0.0010009147,0.9328691,0.36004943
Rot,121794322867346,1684598668541,0.010902965,-9.982223E-4,0.9328667,0.36005542
Rot,121794322916617,1684598668541,0.010906816,-9.985205E-4,0.9328671,0.36005422
Rot,121794332602086,1684598668551,0.010914123,-0.0010014699,0.93286765,0.36005253
