UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,121793917924742,1684598668136,0.18873389,0.08703893,9.880263,0.0,0.0,0.0
UAcc,121793918207607,1684598668136,0.20309082,0.055932228,9.906585,0.0,0.0,0.0
UAcc,121793918638752,1684598668137,0.19591236,0.06550352,9.923335,0.0,0.0,0.0
UAcc,121793921543857,1684598668140,0.21026929,0.063110694,9.901799,0.0,0.0,0.0
UAcc,121793922206982,1684598668140,0.21026929,0.067896344,9.897014,0.0,0.0,0.0
UAcc,121793923355002,1684598668142,0.18634106,0.055932228,9.932906,0.0,0.0,0.0
UAcc,121793925316461,1684598668143,0.18634106,0.070289165,9.91137,0.0,0.0,0.0
UAcc,121793927594377,1684598668146,0.21266212,0.04636094,9.904192,0.0,0.0,0.0
UAcc,121793929776721,1684598668148,0.19351953,0.070289165,9.916156,0.0,0.0,0.0
UAcc,121793933329638,1684598668152,0.18873389,0.060717873,9.901799,0.0,0.0,0.0
UAcc,121793935064898,1684598668153,0.18873389,0.058325052,9.892228,0.0,0.0,0.0
UAcc,121793937672867,1684598668156,0.20548365,0.070289165,9.906585,0.0,0.0,0.0
UAcc,121793939714846,1684598668158,0.17916259,0.060717873,9.9089775,0.0,0.0,0.0
UAcc,121793943201721,1684598668161,0.1911267,0.051146585,9.887443,0.0,0.0,0.0
UAcc,121793944867607,1684598668163,0.20787647,0.03918247,9.897014,0.0,0.0,0.0
UAcc,121793947404221,1684598668166,0.21744776,0.055932228,9.918549,0.0,0.0,0.0
UAcc,121793949795002,1684598668168,0.20548365,0.055932228,9.9089775,0.0,0.0,0.0
UAcc,121793953618127,1684598668172,0.20787647,0.03678965,9.906585,0.0,0.0,0.0
UAcc,121793954620211,1684598668173,0.18873389,0.08225328,9.906585,0.0,0.0,0.0
UAcc,121793957156096,1684598668175,0.200698,0.08225328,9.916156,0.0,0.0,0.0
UAcc,121793959669586,1684598668178,0.21744776,0.04636094,9.882657,0.0,0.0,0.0
UAcc,121793962928075,1684598668181,0.18873389,0.04636094,9.894621,0.0,0.0,0.0
UAcc,121793966017086,1684598668184,0.19351953,0.06550352,9.899406,0.0,0.0,0.0
UAcc,121793968312502,1684598668186,0.17916259,0.08703893,9.892228,0.0,0.0,0.0
UAcc,121793969633075,1684598668188,0.17198412,0.072681986,9.894621,0.0,0.0,0.0
UAcc,121793972738179,1684598668191,0.18394823,0.060717873,9.906585,0.0,0.0,0.0
UAcc,121793974303388,1684598668192,0.2222334,0.06550352,9.918549,0.0,0.0,0.0
