UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165526231567707,1684642400450,0.3681956,5.332106,8.27468,0.0,0.0,0.0
UAcc,165526231602499,1684642400450,0.35383865,5.348856,8.286644,0.0,0.0,0.0
UAcc,165526231655832,1684642400450,0.37776688,5.36082,8.265108,0.0,0.0,0.0
UAcc,165526231730884,1684642400450,0.38733816,5.348856,8.2914295,0.0,0.0,0.0
UAcc,165526236595728,1684642400455,0.37537405,5.3536415,8.312965,0.0,0.0,0.0
UAcc,165526236633176,1684642400455,0.389731,5.3512487,8.322536,0.0,0.0,0.0
UAcc,165526248327811,1684642400467,0.39930227,5.346463,8.35125,0.0,0.0,0.0
UAcc,165526248469218,1684642400467,0.37298122,5.372784,8.370393,0.0,0.0,0.0
UAcc,165526248524634,1684642400467,0.37058842,5.3536415,8.3943205,0.0,0.0,0.0
UAcc,165526248533645,1684642400467,0.3610171,5.358427,8.4038925,0.0,0.0,0.0
UAcc,165526248844322,1684642400467,0.34666017,5.36082,8.418249,0.0,0.0,0.0
UAcc,165526249061405,1684642400467,0.32033914,5.3560343,8.430213,0.0,0.0,0.0
UAcc,165526251971926,1684642400470,0.34666017,5.358427,8.4038925,0.0,0.0,0.0
UAcc,165526252956197,1684642400471,0.33230326,5.3536415,8.415856,0.0,0.0,0.0
UAcc,165526255756353,1684642400474,0.31316066,5.36082,8.4015,0.0,0.0,0.0
UAcc,165526259837291,1684642400478,0.3179463,5.3560343,8.370393,0.0,0.0,0.0
UAcc,165526260531822,1684642400479,0.29880372,5.358427,8.348857,0.0,0.0,0.0
UAcc,165526262487291,1684642400481,0.29162526,5.3440704,8.3345,0.0,0.0,0.0
UAcc,165526266442134,1684642400485,0.2724827,5.3536415,8.298608,0.0,0.0,0.0
UAcc,165526267613072,1684642400486,0.25573292,5.363213,8.284251,0.0,0.0,0.0
UAcc,165526270234947,1684642400488,0.2868396,5.334499,8.279466,0.0,0.0,0.0
UAcc,165526272854114,1684642400491,0.2868396,5.3512487,8.265108,0.0,0.0,0.0
UAcc,165526275721093,1684642400494,0.27008986,5.3153563,8.245966,0.0,0.0,0.0
UAcc,165526278138124,1684642400496,0.2653042,5.324928,8.267501,0.0,0.0,0.0
UAcc,165526281604322,1684642400500,0.24376881,5.3297133,8.243573,0.0,0.0,0.0
