UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,165526231591614,1684642400450,-0.0051922016,-0.004275931,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526231625155,1684642400450,-0.0051922016,-0.0030542363,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526231640780,1684642400450,-0.0070247436,-0.0036650836,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526231752447,1684642400450,-0.008857286,-0.004275931,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526236531041,1684642400455,-0.008857286,-0.005497625,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526244485103,1684642400463,-0.0076355906,-0.004886778,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526248353332,1684642400467,-0.008246438,-0.005497625,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526248486301,1684642400467,-0.009468133,-0.005497625,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526248500572,1684642400467,-0.008246438,-0.0036650836,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526248772968,1684642400467,-0.005803049,-0.004275931,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526248786614,1684642400467,-0.0076355906,-0.00671932,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526249035832,1684642400467,-0.0051922016,-0.004886778,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526252062030,1684642400470,-0.0027488125,-0.004886778,-0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526252883541,1684642400471,-0.0015271181,-0.00671932,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526255725155,1684642400474,9.162709E-4,-0.004275931,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526259869426,1684642400478,0.0027488125,-0.0036650836,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526260359739,1684642400479,0.0015271181,-0.004275931,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526262431509,1684642400481,0.0015271181,-0.0030542363,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526266429009,1684642400485,0.0015271181,-0.0018325418,-0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526267741249,1684642400486,3.0542363E-4,-0.004275931,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526270273228,1684642400488,-0.00335966,-0.004886778,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526272841301,1684642400491,-0.0015271181,-0.0036650836,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526275669843,1684642400494,-0.0027488125,-0.004275931,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526278111614,1684642400496,-0.00335966,-0.005497625,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526281869061,1684642400500,-0.006413896,-0.0030542363,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526283568020,1684642400502,-0.008246438,-0.0030542363,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526285283541,1684642400503,-0.005803049,-0.0036650836,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526287340676,1684642400506,-0.006413896,-0.0036650836,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526290210989,1684642400508,-0.0070247436,-0.005497625,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526292337030,1684642400511,-0.008857286,-0.005497625,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526296094999,1684642400514,-0.0070247436,-0.0061084726,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526297219791,1684642400515,-0.008857286,-0.009162709,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526299867499,1684642400518,-0.006413896,-0.00671932,-0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526302150155,1684642400520,-0.0070247436,-0.00671932,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526305743280,1684642400524,-0.0051922016,-0.00671932,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526307273749,1684642400525,-0.005803049,-0.007941014,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526311004374,1684642400529,-0.0045813546,-0.007941014,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526312173905,1684642400530,-0.0045813546,-0.008551862,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526316524739,1684642400535,-0.003970507,-0.00671932,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526317444634,1684642400536,-0.0021379655,-0.00671932,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526319523436,1684642400538,-0.0015271181,-0.007941014,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526322751718,1684642400541,-9.162709E-4,-0.00671932,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526325451926,1684642400544,3.0542363E-4,-0.007330167,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526326882759,1684642400545,9.162709E-4,-0.00671932,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526329540416,1684642400548,0.0015271181,-0.004886778,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526331797186,1684642400550,0.0015271181,-0.007330167,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526334780259,1684642400553,0.0015271181,-0.004886778,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526337172759,1684642400555,9.162709E-4,-0.0061084726,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526339714999,1684642400558,-3.0542363E-4,-0.005497625,-0.0,-0.003604275,-0.013874966,0.0013728924
UGys,165526341637811,1684642400560,-0.003970507,-0.007941014,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526345166718,1684642400563,-0.0045813546,-0.00671932,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526346849634,1684642400565,-0.006413896,-0.0061084726,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526351094686,1684642400569,-0.006413896,-0.004275931,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526351480155,1684642400570,-0.0070247436,-0.00671932,0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165526355587707,1684642400574,-0.0076355906,-0.007330167,0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165526356747759,1684642400575,-0.0076355906,-0.007330167,0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165526359575103,1684642400578,-0.009468133,-0.007941014,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526361563436,1684642400580,-0.008246438,-0.009162709,0.007330167,-0.003604275,-0.013874966,0.0013728924
UGys,165526365763645,1684642400584,-0.008246438,-0.010384403,0.007330167,-0.003604275,-0.013874966,0.0013728924
UGys,165526366792655,1684642400585,-0.0070247436,-0.007330167,0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165526369617134,1684642400588,-0.0051922016,-0.007330167,0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165526371649947,1684642400590,-0.0045813546,-0.010384403,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526376562707,1684642400595,-0.00335966,-0.009773556,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526376659478,1684642400595,-0.00335966,-0.008551862,0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165526381889530,1684642400600,-0.0015271181,-0.009162709,0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165526381960936,1684642400600,-9.162709E-4,-0.010384403,0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165526385275989,1684642400603,-3.0542363E-4,-0.010384403,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526386654686,1684642400605,-0.0015271181,-0.007941014,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526389315207,1684642400607,-3.0542363E-4,-0.009773556,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165526391354374,1684642400610,-9.162709E-4,-0.01099525,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526394951093,1684642400613,-0.0015271181,-0.01099525,0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165526396013957,1684642400614,-0.0015271181,-0.011606098,0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165526398915884,1684642400617,-0.003970507,-0.011606098,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526401593176,1684642400620,-0.00335966,-0.01099525,0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526405546509,1684642400624,-0.00335966,-0.01099525,0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165526406481770,1684642400625,-0.00335966,-0.010384403,0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165526409142863,1684642400627,-0.003970507,-0.010384403,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526411074166,1684642400629,-0.0045813546,-0.010384403,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526413854218,1684642400632,-0.005803049,-0.009773556,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526416018124,1684642400634,-0.005803049,-0.011606098,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526418679999,1684642400637,-0.005803049,-0.010384403,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165526420711457,1684642400639,-0.005803049,-0.010384403,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165526423332968,1684642400642,-0.0051922016,-0.011606098,0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165526426216718,1684642400644,-0.0045813546,-0.01099525,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526428744009,1684642400647,-0.0051922016,-0.010384403,0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165526430968020,1684642400649,-0.0051922016,-0.009162709,0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165526433676457,1684642400652,-0.0045813546,-0.011606098,0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165526435795363,1684642400654,-0.003970507,-0.012216945,0.004275931,-0.003604275,-0.013874966,0.0013728924
