GameRot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
GameRot,165636882684540,1684642511101,0.0052025733,0.16676734,0.68695784,0.7072839
GameRot,165636882952613,1684642511101,0.005119804,0.1667591,0.68695027,0.7072938
GameRot,165636883092613,1684642511101,0.00505206,0.16676112,0.6869449,0.70729905
GameRot,165636889759905,1684642511108,0.0050735148,0.16676414,0.6869512,0.707292
GameRot,165636889846676,1684642511108,0.0051425546,0.16681267,0.6869561,0.70727533
GameRot,165636893827561,1684642511112,0.0052138637,0.16681632,0.6869661,0.7072642
GameRot,165636899154853,1684642511117,0.0052310172,0.16678827,0.68697107,0.70726585
GameRot,165636903328915,1684642511122,0.0051192422,0.16678646,0.6869551,0.70728266
GameRot,165636908437978,1684642511127,0.00497114,0.16681801,0.68693495,0.7072959
GameRot,165636913592873,1684642511132,0.004838088,0.16679603,0.68692166,0.70731485
GameRot,165636919261103,1684642511137,0.0047456212,0.16682144,0.686906,0.70732474
GameRot,165636923294592,1684642511141,0.004686729,0.16682619,0.68689954,0.7073302
GameRot,165636929795217,1684642511148,0.004627403,0.16684341,0.6868863,0.7073394
GameRot,165636933144592,1684642511151,0.0045231306,0.16682792,0.68687236,0.7073573
GameRot,165636938878603,1684642511157,0.004403799,0.1668375,0.68685275,0.70737475
GameRot,165636942815842,1684642511161,0.004258097,0.16685183,0.68683004,0.7073944
GameRot,165636950320946,1684642511168,0.004167458,0.16684394,0.6868183,0.70740825
GameRot,165636952835530,1684642511171,0.004117829,0.16685309,0.68681335,0.70741117
GameRot,165636957803759,1684642511176,0.0040677083,0.16686007,0.6868038,0.70741904
GameRot,165636962986155,1684642511181,0.0039827293,0.16685264,0.6867924,0.7074324
GameRot,165636968809800,1684642511187,0.0038829383,0.16685045,0.68677837,0.70744705
GameRot,165636972645582,1684642511191,0.0037954429,0.1668613,0.68676436,0.70745856
GameRot,165636977744800,1684642511196,0.0036825559,0.16683935,0.6867526,0.7074758
GameRot,165636982853655,1684642511201,0.0036509116,0.16684401,0.6867488,0.7074784
GameRot,165636987992353,1684642511206,0.003625501,0.166864,0.6867433,0.70747924
GameRot,165636992159332,1684642511210,0.0035885868,0.16686425,0.68674296,0.7074797
GameRot,165636998658290,1684642511217,0.0035366472,0.16687329,0.6867324,0.7074881
GameRot,165637002819957,1684642511221,0.0034808964,0.16685158,0.6867237,0.70750195
GameRot,165637008804019,1684642511227,0.003416329,0.16684036,0.6867171,0.7075113
GameRot,165637016539540,1684642511235,0.003341195,0.16684449,0.68670446,0.70752305
GameRot,165637018360321,1684642511237,0.0032845736,0.1668263,0.6866965,0.70753527
GameRot,165637022305217,1684642511240,0.0032190124,0.16684347,0.68668205,0.7075455
GameRot,165637027177925,1684642511245,0.0031526762,0.1668431,0.68666875,0.7075588
GameRot,165637031658967,1684642511250,0.0030836947,0.16684495,0.6866551,0.707572
GameRot,165637036790946,1684642511255,0.0030155093,0.16684346,0.68664557,0.7075818
GameRot,165637041645478,1684642511260,0.0029497447,0.1668362,0.68663806,0.7075911
GameRot,165637046711103,1684642511265,0.0028627056,0.16682719,0.6866226,0.7076086
GameRot,165637051871832,1684642511270,0.002751178,0.16682078,0.6866046,0.707628
GameRot,165637056701988,1684642511275,0.002611644,0.16680951,0.68658614,0.7076491
GameRot,165637061391988,1684642511280,0.0024678581,0.16679728,0.68656576,0.70767224
GameRot,165637066348811,1684642511285,0.0023078846,0.16677482,0.6865498,0.70769364
GameRot,165637071340478,1684642511290,0.002161665,0.1667538,0.6865351,0.70771325
GameRot,165637076857405,1684642511295,0.002020385,0.16677308,0.6865163,0.70772743
GameRot,165637081852457,1684642511300,0.0018718784,0.16676494,0.68649983,0.7077457
GameRot,165637086365842,1684642511305,0.0017429378,0.16675372,0.68648607,0.707762
GameRot,165637091316988,1684642511309,0.0016476925,0.16674227,0.68647623,0.70777446
GameRot,165637096737665,1684642511315,0.0016031216,0.16672504,0.6864731,0.7077817
GameRot,165637101812978,1684642511320,0.0015588187,0.16670194,0.6864708,0.7077895
GameRot,165637105877405,1684642511324,0.0015135022,0.16668499,0.6864674,0.70779675
GameRot,165637112752248,1684642511331,0.0014832518,0.16668265,0.6864642,0.7078005
GameRot,165637115874384,1684642511334,0.0014585078,0.1666997,0.6864593,0.70780134
GameRot,165637121529175,1684642511340,0.0014457094,0.16671957,0.6864553,0.70780057
GameRot,165637125775686,1684642511344,0.001442817,0.16675411,0.6864508,0.7077968
GameRot,165637132144228,1684642511350,0.0014151098,0.1667749,0.686445,0.7077976
GameRot,165637136016728,1684642511354,0.0013799587,0.1667952,0.6864383,0.7077993
GameRot,165637141105582,1684642511359,0.0013326157,0.16679187,0.6864332,0.70780516
GameRot,165637145664280,1684642511364,0.0012815467,0.1667895,0.68642753,0.70781136
GameRot,165637151208603,1684642511369,0.0012239696,0.16680078,0.6864194,0.70781666
GameRot,165637155930269,1684642511374,0.001156008,0.16681486,0.6864097,0.70782286
GameRot,165637161029853,1684642511379,0.0010817256,0.16682939,0.6863992,0.7078297
GameRot,165637165127769,1684642511383,0.0010066904,0.16683416,0.68638986,0.7078378
GameRot,165637172110009,1684642511390,9.3985966E-4,0.1668512,0.6863799,0.7078435
GameRot,165637175110946,1684642511393,8.6913223E-4,0.16688651,0.6863673,0.7078475
GameRot,165637181299957,1684642511399,8.098892E-4,0.16691186,0.6863572,0.70785135
GameRot,165637186319384,1684642511404,7.6801E-4,0.16692872,0.6863503,0.70785415
GameRot,165637191478394,1684642511410,7.4616255E-4,0.166937,0.6863468,0.70785564
GameRot,165637195162144,1684642511413,7.328625E-4,0.16694237,0.6863445,0.7078566
GameRot,165637201555738,1684642511420,7.3189504E-4,0.16695058,0.6863434,0.70785576
GameRot,165637204723238,1684642511423,7.4678747E-4,0.16696823,0.68634295,0.70785195
GameRot,165637211044905,1684642511429,7.665717E-4,0.16700079,0.6863413,0.70784587
GameRot,165637214581675,1684642511433,7.918831E-4,0.16703415,0.68634015,0.7078391
GameRot,165637219813238,1684642511438,8.1204774E-4,0.16707148,0.686338,0.70783234
GameRot,165637224629644,1684642511443,8.3021243E-4,0.16710807,0.6863356,0.70782596
GameRot,165637229924227,1684642511448,8.639969E-4,0.16712862,0.6863272,0.70782924
GameRot,165637235065009,1684642511453,9.024598E-4,0.16715132,0.68631816,0.7078326
GameRot,165637239564905,1684642511458,9.2678407E-4,0.16717231,0.6863081,0.7078374
GameRot,165637244614384,1684642511463,9.629286E-4,0.16719879,0.6862966,0.7078422
GameRot,165637249515790,1684642511468,0.0010157601,0.1672281,0.6862876,0.70784396
GameRot,165637256701467,1684642511475,0.0010604888,0.16724709,0.6862644,0.70786184
GameRot,165637259544852,1684642511478,0.0010955726,0.1672845,0.6862639,0.70785344
GameRot,165637264612092,1684642511483,0.0011542451,0.16732344,0.6862529,0.7078549
GameRot,165637269268967,1684642511487,0.0012137784,0.16736211,0.68624365,0.70785457
GameRot,165637274262457,1684642511492,0.0012685364,0.16739042,0.6862359,0.7078553
GameRot,165637278769175,1684642511497,0.001337632,0.16742943,0.6862236,0.70785785
GameRot,165637284300634,1684642511502,0.0014052431,0.16746524,0.6862122,0.70786035
GameRot,165637288975425,1684642511507,0.0014662896,0.16749454,0.68619895,0.7078661
GameRot,165637294163238,1684642511512,0.0015338232,0.16751654,0.68618715,0.70787215
GameRot,165637298844436,1684642511517,0.001612628,0.1675503,0.6861795,0.70787144
GameRot,165637303950530,1684642511522,0.0016816283,0.1675974,0.68616855,0.7078708
GameRot,165637308725113,1684642511527,0.0017536059,0.16763835,0.6861562,0.70787287
GameRot,165637313773498,1684642511532,0.0018154999,0.16767237,0.6861413,0.70787907
GameRot,165637319190634,1684642511537,0.0018689902,0.16771126,0.68612593,0.7078846
GameRot,165637323749227,1684642511542,0.0019161631,0.16775237,0.6861115,0.7078888
GameRot,165637329473446,1684642511548,0.0019627505,0.16778441,0.686097,0.70789516
GameRot,165637333705477,1684642511552,0.0020245856,0.16781409,0.68608224,0.7079022
GameRot,165637339499227,1684642511558,0.0020990965,0.16785392,0.6860705,0.7079039
GameRot,165637343418655,1684642511562,0.0021860881,0.16789404,0.6860757,0.7078891
GameRot,165637350367248,1684642511569,0.0022655572,0.16794017,0.68607926,0.7078745
GameRot,165637353437769,1684642511572,0.0023347333,0.16797736,0.68608266,0.7078621
GameRot,165637359029592,1684642511577,0.0024260897,0.16803144,0.6860867,0.70784503
GameRot,165637363586415,1684642511582,0.0025306803,0.16808291,0.6860925,0.70782685
GameRot,165637367815165,1684642511586,0.0026497368,0.16812511,0.68610114,0.70780796
GameRot,165637373309592,1684642511591,0.0027700562,0.16816561,0.68608767,0.70781094
GameRot,165637378213602,1684642511596,0.0028716153,0.16820236,0.6860708,0.7078182
GameRot,165637383182821,1684642511601,0.0029454746,0.16824652,0.6860472,0.70783025
GameRot,165637388115321,1684642511606,0.003008205,0.16829896,0.6860203,0.7078436
GameRot,165637417945217,1684642511636,0.0030711857,0.16834033,0.68599486,0.7078582
GameRot,165637418229488,1684642511636,0.003126292,0.16837989,0.6859726,0.7078701
GameRot,165637420366623,1684642511639,0.0031740672,0.16842306,0.68594736,0.7078841
GameRot,165637420619540,1684642511639,0.00319287,0.16846336,0.685918,0.70790285
GameRot,165637421741207,1684642511640,0.0032022747,0.16850622,0.68588716,0.70792246
