Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,165636882803030,1684642511101,-0.02830165,0.16448167,0.8150042,0.55489904
Rot,165636882830738,1684642511101,-0.028419644,0.16441026,0.8150878,0.5547914
Rot,165636883213915,1684642511101,-0.02893859,0.16430876,0.8165631,0.5526209
Rot,165636883224905,1684642511101,-0.029014386,0.16429535,0.8165894,0.552582
Rot,165636891435321,1684642511110,-0.028753025,0.16434501,0.815783,0.5537707
Rot,165636891441936,1684642511110,-0.02865507,0.1644135,0.81564915,0.55395263
Rot,165636901154436,1684642511119,-0.028463744,0.16445269,0.8152448,0.5545458
Rot,165636901159905,1684642511119,-0.028424632,0.16443154,0.81519383,0.554629
Rot,165636913465009,1684642511132,-0.028376976,0.16443442,0.8146522,0.5554258
Rot,165636913508446,1684642511132,-0.02855744,0.16443063,0.8147332,0.55529886
Rot,165636921403342,1684642511140,-0.028255321,0.16445655,0.8132755,0.5574393
Rot,165636921421103,1684642511140,-0.028365532,0.16446066,0.81331134,0.5573802
Rot,165636931496051,1684642511150,-0.028833224,0.16438244,0.81469023,0.5553619
Rot,165636931604957,1684642511150,-0.028897146,0.16438703,0.8146871,0.5553619
Rot,165636941315373,1684642511159,-0.02921639,0.16431195,0.8154204,0.5542901
Rot,165636941337144,1684642511160,-0.029357916,0.16429321,0.8154814,0.55419844
Rot,165636951920738,1684642511170,-0.029726747,0.16423757,0.8162155,0.5531136
Rot,165636951947457,1684642511170,-0.029831829,0.1642082,0.81626725,0.55304027
Rot,165636962850738,1684642511181,-0.029810594,0.16422008,0.81602144,0.55340046
Rot,165636962865894,1684642511181,-0.029862981,0.16421643,0.81602013,0.5534007
Rot,165636962957144,1684642511181,-0.029958792,0.16418932,0.8160591,0.5533461
Rot,165636971634488,1684642511190,-0.029893845,0.16419657,0.81550133,0.5541692
Rot,165636972631623,1684642511191,-0.029995935,0.1641869,0.81553787,0.55411273
Rot,165636981449644,1684642511200,-0.030131748,0.16413715,0.81562996,0.55398446
Rot,165636982878811,1684642511201,-0.030161241,0.16413577,0.8156187,0.55399996
Rot,165636991344644,1684642511210,-0.030139165,0.16415958,0.81544125,0.55425525
Rot,165636992140530,1684642511210,-0.030172171,0.16415296,0.81543016,0.55427164
Rot,165637000488915,1684642511219,-0.03043142,0.16411316,0.8161184,0.55325544
Rot,165637002859696,1684642511221,-0.030490847,0.16407888,0.8161439,0.55322474
Rot,165637010808082,1684642511229,-0.030493403,0.16406561,0.8159424,0.5535256
Rot,165637016523238,1684642511235,-0.030578144,0.1640525,0.8159672,0.5534883
Rot,165637022157353,1684642511240,-0.030597752,0.1640292,0.8158534,0.55366176
Rot,165637022293759,1684642511240,-0.030672178,0.16403148,0.81586415,0.5536412
Rot,165637030362925,1684642511249,-0.030718153,0.1640212,0.81579,0.553751
Rot,165637031640061,1684642511250,-0.030796375,0.16400711,0.815814,0.5537154
Rot,165637040342665,1684642511259,-0.030884672,0.16398773,0.8158804,0.5536184
Rot,165637041399696,1684642511260,-0.030956572,0.16396558,0.8159053,0.55358434
Rot,165637050333655,1684642511269,-0.031126386,0.16392271,0.81618536,0.5531744
Rot,165637051854800,1684642511270,-0.03125835,0.16388917,0.81625295,0.5530772
Rot,165637060774175,1684642511279,-0.031414445,0.16384554,0.8163126,0.5529932
Rot,165637061217717,1684642511279,-0.031590592,0.163797,0.81642526,0.55283123
Rot,165637070565946,1684642511289,-0.031891953,0.16371338,0.81691784,0.5521106
Rot,165637071330061,1684642511290,-0.03206934,0.16365531,0.8170376,0.55194026
Rot,165637081692144,1684642511300,-0.0323256,0.16362272,0.8174065,0.55138856
Rot,165637081824175,1684642511300,-0.032508425,0.16357642,0.81752616,0.5512141
Rot,165637091169488,1684642511309,-0.03261325,0.16354272,0.81745183,0.55132806
Rot,165637091298603,1684642511309,-0.03272828,0.16350706,0.81752634,0.5512213
Rot,165637101802509,1684642511320,-0.032605927,0.1635135,0.8169767,0.55204093
Rot,165637101834696,1684642511320,-0.032654002,0.16347992,0.8170079,0.5520019
Rot,165637112645425,1684642511331,-0.032700695,0.16345288,0.81702584,0.5519806
Rot,165637112698655,1684642511331,-0.03273371,0.16344361,0.81703657,0.5519655
Rot,165637121500686,1684642511340,-0.032663893,0.16347472,0.8167024,0.5524547
Rot,165637121511884,1684642511340,-0.032676324,0.1634924,0.81668437,0.55247545
Rot,165637132154540,1684642511350,-0.032714415,0.16351996,0.81677437,0.5523319
Rot,165637132182040,1684642511350,-0.03274518,0.16353478,0.8167668,0.55233693
Rot,165637141149228,1684642511359,-0.03263403,0.1635774,0.8162548,0.5530873
Rot,165637141265009,1684642511359,-0.032689676,0.16356249,0.81628466,0.5530443
Rot,165637151159800,1684642511369,-0.03279577,0.16353844,0.81647164,0.5527691
Rot,165637151183550,1684642511369,-0.032868333,0.16353491,0.81651175,0.5527066
Rot,165637160983915,1684642511379,-0.03296158,0.16353,0.8165841,0.5525956
Rot,165637161044592,1684642511379,-0.0330572,0.16352503,0.8166426,0.5525049
Rot,165637171991519,1684642511390,-0.033150274,0.16351059,0.816698,0.5524216
Rot,165637172043238,1684642511390,-0.033238262,0.1635097,0.816754,0.5523339
Rot,165637181261467,1684642511399,-0.03337196,0.1635181,0.8169357,0.55205446
Rot,165637181282613,1684642511399,-0.03345182,0.16352737,0.816983,0.5519769
Rot,165637191391050,1684642511410,-0.03359156,0.16351573,0.8172983,0.5515049
Rot,165637191454384,1684642511410,-0.033622626,0.16351768,0.8173221,0.55146724
Rot,165637201585113,1684642511420,-0.03365281,0.16351691,0.81737417,0.5513884
Rot,165637201606467,1684642511420,-0.033658206,0.16352418,0.8173822,0.55137396
Rot,165637211011363,1684642511429,-0.033679765,0.1635378,0.8174906,0.5512079
Rot,165637211056623,1684642511429,-0.033660524,0.16357511,0.81746554,0.5512352
Rot,165637220597196,1684642511439,-0.033644475,0.16361259,0.81746924,0.5512196
Rot,165637220626415,1684642511439,-0.033625398,0.16365473,0.817442,0.55124867
Rot,165637230735790,1684642511449,-0.033580776,0.16370134,0.81732255,0.5514146
Rot,165637230772977,1684642511449,-0.03354769,0.16372928,0.8173007,0.5514407
Rot,165637240994123,1684642511459,-0.033382345,0.16378644,0.81684655,0.55210626
Rot,165637241009800,1684642511459,-0.03336089,0.16381237,0.8168311,0.5521228
Rot,165637250704957,1684642511469,-0.03343836,0.1638238,0.81718266,0.5515942
Rot,165637250723811,1684642511469,-0.033382088,0.16386549,0.8171385,0.55165064
Rot,165637260682977,1684642511479,-0.03339812,0.16388191,0.81730765,0.5513941
Rot,165637260716675,1684642511479,-0.033361383,0.16392781,0.8172715,0.55143636
Rot,165637270999436,1684642511489,-0.033281054,0.16398424,0.81715685,0.55159426
Rot,165637271014019,1684642511489,-0.033216808,0.16403717,0.81710094,0.55166525
Rot,165637280636675,1684642511499,-0.033151913,0.16407959,0.8170359,0.5517528
Rot,165637280648498,1684642511499,-0.033074874,0.16413547,0.8169658,0.5518446
Rot,165637290593342,1684642511509,-0.03298846,0.16418996,0.81686234,0.5519867
Rot,165637290608707,1684642511509,-0.032921176,0.16423386,0.8168051,0.5520624
Rot,165637300665373,1684642511519,-0.03292391,0.16425638,0.8170109,0.5517509
Rot,165637300680165,1684642511519,-0.032834847,0.16430938,0.81693983,0.5518456
Rot,165637311120217,1684642511529,-0.032764103,0.16437222,0.81688565,0.5519113
Rot,165637311137248,1684642511529,-0.032682005,0.16443108,0.8168067,0.55201554
Rot,165637321924384,1684642511540,-0.03257421,0.1644878,0.8166114,0.55229384
Rot,165637321936780,1684642511540,-0.03251717,0.16453935,0.8165551,0.5523651
Rot,165637331246884,1684642511549,-0.032475945,0.16458991,0.8165301,0.55238944
Rot,165637331636936,1684642511550,-0.0324249,0.16463318,0.8164769,0.55245817
Rot,165637341557248,1684642511560,-0.032298233,0.16468906,0.8162216,0.55282605
Rot,165637341568915,1684642511560,-0.03221072,0.16474773,0.8161342,0.5529427
Rot,165637351531259,1684642511570,-0.032112665,0.16480887,0.81606555,0.5530315
Rot,165637351719280,1684642511570,-0.032014336,0.16487604,0.8159656,0.55316466
Rot,165637361288446,1684642511579,-0.031953625,0.1649267,0.8159646,0.5531546
Rot,165637361319175,1684642511579,-0.031840138,0.165005,0.8158474,0.5533106
Rot,165637371872300,1684642511590,-0.031662468,0.16509318,0.81556183,0.5537153
Rot,165637371923915,1684642511590,-0.031507015,0.16516772,0.8154074,0.5539294
Rot,165637382113290,1684642511600,-0.03139806,0.16523167,0.81539696,0.5539318
Rot,165637382147613,1684642511600,-0.031268217,0.1652954,0.81525505,0.554129
Rot,165637391411884,1684642511610,-0.03119368,0.16535573,0.81519705,0.55420053
Rot,165637391429123,1684642511610,-0.031116731,0.16542472,0.81508577,0.5543479
Rot,165637417963915,1684642511636,-0.03103834,0.16548268,0.81497973,0.55449086
Rot,165637420242457,1684642511638,-0.030990215,0.16553298,0.8149531,0.55451775
Rot,165637420441832,1684642511639,-0.030927233,0.16558957,0.8148477,0.5546591
Rot,165637421636102,1684642511640,-0.031187952,0.16558205,0.8157294,0.5533494
Rot,165637421699800,1684642511640,-0.031173084,0.16562861,0.81565505,0.55344576
Rot,165637422083654,1684642511640,-0.0313958,0.16563295,0.81633896,0.5524226
Rot,165637423111311,1684642511641,-0.03138406,0.1656686,0.8162826,0.5524959
Rot,165637431059696,1684642511649,-0.03167231,0.16563168,0.8171766,0.5511673
Rot,165637432048498,1684642511650,-0.031664833,0.16567056,0.8171164,0.5512454
Rot,165637440516415,1684642511659,-0.03184165,0.16567677,0.8176424,0.5504527
Rot,165637442488029,1684642511661,-0.031852894,0.16572002,0.817588,0.5505199
Rot,165637450791207,1684642511669,-0.032131206,0.16570894,0.8184241,0.5492633
Rot,165637452285842,1684642511670,-0.03214139,0.16573738,0.8183816,0.54931736
Rot,165637460790790,1684642511679,-0.03238795,0.1656765,0.8191419,0.54818684
Rot,165637462271050,1684642511680,-0.032369025,0.16565669,0.819106,0.54824764
Rot,165637472036363,1684642511690,-0.032533597,0.16560106,0.81977314,0.54725665
Rot,165637472177144,1684642511690,-0.03241493,0.16567293,0.8196285,0.5474586
Rot,165637480566727,1684642511699,-0.032457244,0.1656795,0.8202202,0.54656726
Rot,165637481894696,1684642511700,-0.03229301,0.16572356,0.8200538,0.5468131
Rot,165637490521884,1684642511709,-0.03238863,0.1657776,0.82067686,0.5458555
Rot,165637491627821,1684642511710,-0.0322151,0.16585188,0.8205013,0.5461071
Rot,165637500627404,1684642511719,-0.032294072,0.16582818,0.8210521,0.54528123
Rot,165637501658082,1684642511720,-0.032182176,0.1658086,0.8209421,0.54545933
Rot,165637510471207,1684642511729,-0.032380126,0.16571946,0.82158107,0.5445118
Rot,165637511392769,1684642511730,-0.032530233,0.16568555,0.82161057,0.54446864
Rot,165637520469227,1684642511739,-0.032921493,0.16559598,0.82228804,0.54344875
Rot,165637521230061,1684642511739,-0.03316007,0.1655943,0.82235676,0.5433307
Rot,165637532428446,1684642511751,-0.033475112,0.16562289,0.82287097,0.54252356
Rot,165637532462509,1684642511751,-0.033411365,0.16561255,0.8227838,0.5426628
Rot,165637552787821,1684642511771,-0.033565633,0.16562904,0.8230462,0.5422502
Rot,165637553226675,1684642511771,-0.03371179,0.16563413,0.8230378,0.5422524
Rot,165637554205113,1684642511772,-0.03399373,0.16559462,0.82374287,0.5411751
Rot,165637554273446,1684642511772,-0.034000646,0.16563456,0.8236885,0.5412452
Rot,165637561781988,1684642511780,-0.034236673,0.16554083,0.8243281,0.54028445
Rot,165637561819592,1684642511780,-0.034268674,0.16555949,0.82427907,0.5403515
Rot,165637571613759,1684642511790,-0.034356713,0.16556747,0.82465225,0.5397737
Rot,165637571659123,1684642511790,-0.034460507,0.16560696,0.8246314,0.5397868
Rot,165637581133238,1684642511799,-0.034667604,0.16563927,0.82506007,0.5391082
