UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,121793918103023,1684598668136,-0.0027488125,-0.018325418,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793918570107,1684598668137,-0.0045813546,-0.015271181,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793921422398,1684598668140,-0.0045813546,-0.016492875,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793921866773,1684598668140,-0.00335966,-0.018325418,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793923203648,1684598668141,-0.0027488125,-0.017714571,-0.002443389,-0.003447461,-0.013058696,0.0023720101
UGys,121793925175055,1684598668143,-0.0051922016,-0.017714571,-0.0,-0.003447461,-0.013058696,0.0023720101
UGys,121793927735836,1684598668146,-0.00335966,-0.015882028,-6.1084726E-4,-0.003447461,-0.013058696,0.0023720101
UGys,121793929739325,1684598668148,-0.0027488125,-0.017103724,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793933367346,1684598668152,-0.00335966,-0.016492875,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793934951929,1684598668153,-0.003970507,-0.016492875,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793937598909,1684598668156,-0.0027488125,-0.018325418,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793939767711,1684598668158,-0.0027488125,-0.017714571,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793942965940,1684598668161,-0.0021379655,-0.016492875,6.1084726E-4,-0.003447461,-0.013058696,0.0023720101
UGys,121793944767034,1684598668163,-0.00335966,-0.015882028,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
UGys,121793947291044,1684598668165,-0.00335966,-0.017103724,-0.0,-0.003447461,-0.013058696,0.0023720101
UGys,121793949583232,1684598668168,-0.0027488125,-0.015882028,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793953950159,1684598668172,-0.0021379655,-0.015882028,-0.0012216945,-0.003447461,-0.013058696,0.0023720101
UGys,121793954538752,1684598668173,-0.0015271181,-0.018325418,-0.0036650836,-0.003447461,-0.013058696,0.0023720101
UGys,121793957065836,1684598668175,-0.0027488125,-0.017103724,-6.1084726E-4,-0.003447461,-0.013058696,0.0023720101
UGys,121793959738596,1684598668178,-0.00335966,-0.016492875,-6.1084726E-4,-0.003447461,-0.013058696,0.0023720101
UGys,121793962720107,1684598668181,-0.00335966,-0.018936265,-0.0018325418,-0.003447461,-0.013058696,0.0023720101
