Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,156923042913407,1684633797261,0.16400863,-0.25534117,-0.55408823,0.77516985
Rot,156923042920490,1684633797261,0.16174336,-0.2538474,-0.5581679,0.77320707
Rot,156923057647105,1684633797276,0.15945844,-0.2524309,-0.5621912,0.7712281
Rot,156923057676949,1684633797276,0.15722944,-0.25118458,-0.5658772,0.7693947
Rot,156923061069970,1684633797279,0.15515895,-0.25011608,-0.56910956,0.76777726
Rot,156923061082626,1684633797279,0.15328152,-0.24930978,-0.5716792,0.76650655
Rot,156923068664449,1684633797287,0.15159017,-0.24865344,-0.5738385,0.7654419
Rot,156923068676897,1684633797287,0.14998524,-0.24818586,-0.575623,0.7645694
Rot,156923078747053,1684633797297,0.14836392,-0.24793682,-0.57710016,0.76385266
Rot,156923078768563,1684633797297,0.14679855,-0.2478513,-0.5782954,0.76327866
Rot,156923088665699,1684633797307,0.14521769,-0.24793686,-0.5792728,0.762812
Rot,156923088687990,1684633797307,0.14373729,-0.2481722,-0.57992053,0.76252365
Rot,156923098802678,1684633797317,0.14242618,-0.24854028,-0.58018005,0.76245236
Rot,156923098811376,1684633797317,0.14126302,-0.24900606,-0.5801264,0.7625576
Rot,156923109989657,1684633797328,0.14025414,-0.24948357,-0.5798593,0.76279086
Rot,156923110019136,1684633797328,0.13948224,-0.24986129,-0.57946396,0.76310915
Rot,156923119462522,1684633797338,0.13888958,-0.25006446,-0.5791085,0.76342046
Rot,156923119473980,1684633797338,0.1384094,-0.25010622,-0.57881534,0.7637163
Rot,156923129800543,1684633797348,0.13796827,-0.24991366,-0.57882637,0.76385075
Rot,156923129827365,1684633797348,0.13762303,-0.24945873,-0.5791384,0.7638252
Rot,156923139382782,1684633797358,0.13739608,-0.24877918,-0.5797168,0.7636489
Rot,156923139437105,1684633797358,0.13731243,-0.24791764,-0.5804811,0.7633635
Rot,156923149147418,1684633797367,0.13729396,-0.24698001,-0.5813667,0.76299673
Rot,156923149171272,1684633797367,0.1373342,-0.24603784,-0.5822385,0.76262903
Rot,156923159472574,1684633797378,0.13737431,-0.2451503,-0.5830603,0.7622796
Rot,156923159507209,1684633797378,0.13740492,-0.24431972,-0.58381706,0.7619616
Rot,156923170018303,1684633797388,0.13736205,-0.24357639,-0.58450687,0.76167834
Rot,156923170037001,1684633797388,0.13719362,-0.24289533,-0.58524305,0.7613608
Rot,156923179540022,1684633797398,0.13689192,-0.24229346,-0.5860409,0.7609931
Rot,156923179663876,1684633797398,0.13644066,-0.24179202,-0.5869366,0.7605432
Rot,156923189639188,1684633797408,0.13587573,-0.24141265,-0.58791125,0.7600119
Rot,156923189653095,1684633797408,0.13522081,-0.2411697,-0.588953,0.759399
Rot,156923189666584,1684633797408,0.1345441,-0.24105568,-0.59000593,0.7587378
Rot,156923200781272,1684633797419,0.13388999,-0.24105488,-0.5910187,0.7580653
Rot,156923200818720,1684633797419,0.13334496,-0.24114563,-0.59188086,0.7574595
Rot,156923209417365,1684633797428,0.13296269,-0.24127463,-0.5925485,0.7569635
Rot,156923209431949,1684633797428,0.13280271,-0.24136113,-0.5930338,0.75658387
Rot,156923219308563,1684633797437,0.13287066,-0.2414042,-0.5933252,0.7563297
Rot,156923219323824,1684633797437,0.1331569,-0.24142799,-0.5933852,0.7562247
Rot,156923229162209,1684633797447,0.13360588,-0.24139707,-0.59333247,0.75619674
Rot,156923229189293,1684633797447,0.13417703,-0.24130423,-0.5932028,0.75622696
Rot,156923238638147,1684633797457,0.13478984,-0.24110688,-0.5931389,0.75623107
Rot,156923238713928,1684633797457,0.13545151,-0.24079603,-0.59315056,0.75620276
Rot,156923248479345,1684633797467,0.13619344,-0.24042211,-0.59312236,0.75621057
Rot,156923248494501,1684633797467,0.13694805,-0.24001998,-0.59311324,0.7562092
Rot,156923258563876,1684633797477,0.13766761,-0.23962712,-0.5931462,0.75617725
Rot,156923258579136,1684633797477,0.13831396,-0.23928235,-0.593225,0.7561067
Rot,156923268632313,1684633797487,0.1388567,-0.23902294,-0.5933483,0.7559925
Rot,156923268848667,1684633797487,0.13929687,-0.23888473,-0.5934627,0.7558654
Rot,156923278964813,1684633797497,0.1396692,-0.23887753,-0.5935015,0.7557685
Rot,156923278984917,1684633797497,0.13996853,-0.2389664,-0.5935111,0.75567746
Rot,156923288749917,1684633797507,0.1402129,-0.23912594,-0.5935005,0.75559
Rot,156923288777886,1684633797507,0.14040737,-0.23933302,-0.5935183,0.7554743
Rot,156923298678667,1684633797517,0.14063627,-0.23959573,-0.5934602,0.75539416
Rot,156923298802470,1684633797517,0.14091098,-0.23991658,-0.59333056,0.75534296
Rot,156923308638147,1684633797527,0.1412437,-0.24027449,-0.5931553,0.7553047
Rot,156923308719240,1684633797527,0.14159437,-0.24066891,-0.59299546,0.75523895
Rot,156923318844032,1684633797537,0.14199649,-0.2410929,-0.5927931,0.7551871
Rot,156923318860022,1684633797537,0.1424864,-0.24151416,-0.5925211,0.7551737
Rot,156923329631584,1684633797548,0.14302997,-0.24193805,-0.5921592,0.7552191
Rot,156923329647001,1684633797548,0.14363806,-0.24236289,-0.59167475,0.7553472
Rot,156923339891324,1684633797558,0.14430113,-0.24277283,-0.59106576,0.7555659
Rot,156923339939188,1684633797558,0.1450275,-0.24317259,-0.59030366,0.75589395
Rot,156923349139240,1684633797567,0.14575717,-0.24354084,-0.5894664,0.75628835
Rot,156923349187105,1684633797567,0.14647883,-0.24385482,-0.58855826,0.7567549
Rot,156923359425959,1684633797578,0.14719169,-0.24405563,-0.5876454,0.7572611
Rot,156923359446532,1684633797578,0.1478837,-0.24412934,-0.586731,0.7578113
Rot,156923369011688,1684633797587,0.1485619,-0.24405807,-0.5858126,0.7584119
Rot,156923369035907,1684633797587,0.14915918,-0.24383906,-0.5850004,0.75899184
Rot,156923380151845,1684633797598,0.14963834,-0.2434707,-0.58438486,0.7594898
Rot,156923380218615,1684633797598,0.14996918,-0.24298733,-0.58401936,0.7598604
Rot,156923389554292,1684633797608,0.15012531,-0.24248387,-0.58389235,0.76008797
Rot,156923389575647,1684633797608,0.15009798,-0.24203444,-0.5839852,0.7601653
Rot,156923399439136,1684633797618,0.14989996,-0.24170549,-0.58426726,0.76009226
Rot,156923399500855,1684633797618,0.14957884,-0.24154313,-0.5846623,0.7599033
Rot,156923409954136,1684633797628,0.14916527,-0.24156643,-0.5851262,0.7596201
Rot,156923409991324,1684633797628,0.14869033,-0.241757,-0.58558553,0.75929856
Rot,156923419303042,1684633797637,0.14828269,-0.24203806,-0.58594954,0.7590079
Rot,156923419342522,1684633797638,0.14800191,-0.24233302,-0.586192,0.7587813
Rot,156923429587261,1684633797648,0.1479008,-0.24258383,-0.58628136,0.75865185
Rot,156923429609136,1684633797648,0.14799811,-0.24277127,-0.5862087,0.758629
Rot,156923438972001,1684633797657,0.1482753,-0.24288085,-0.58601,0.7586934
Rot,156923438981272,1684633797657,0.14870512,-0.24292046,-0.58569175,0.7588423
Rot,156923448807105,1684633797667,0.14922076,-0.24288176,-0.58533305,0.7590302
Rot,156923448841584,1684633797667,0.14978771,-0.24277759,-0.58493984,0.75925493
Rot,156923459473251,1684633797678,0.15032652,-0.24262315,-0.5845408,0.75950515
Rot,156923459497157,1684633797678,0.15082268,-0.24242021,-0.58411956,0.75979555
Rot,156923468628147,1684633797687,0.15123145,-0.24216135,-0.58374876,0.76008177
Rot,156923468644969,1684633797687,0.15157774,-0.24185921,-0.58343333,0.7603512
Rot,156923478541532,1684633797697,0.1518506,-0.24155165,-0.5832217,0.7605568
Rot,156923478549032,1684633797697,0.15204208,-0.24130358,-0.583117,0.7606776
Rot,156923488539969,1684633797707,0.15213346,-0.24116173,-0.5831358,0.76068985
Rot,156923488545074,1684633797707,0.15216249,-0.24112742,-0.583262,0.7605981
Rot,156923498557001,1684633797717,0.1521849,-0.24117337,-0.5834484,0.7604361
Rot,156923498586376,1684633797717,0.15224226,-0.24126549,-0.58365417,0.7602375
Rot,156923508962938,1684633797727,0.15240972,-0.24138221,-0.5837944,0.7600592
Rot,156923508985074,1684633797727,0.15266937,-0.24151234,-0.58385885,0.75991625
Rot,156923518686688,1684633797737,0.15300173,-0.2416451,-0.583841,0.7598209
Rot,156923518703199,1684633797737,0.15341681,-0.24175642,-0.5837263,0.75978994
Rot,156923528577730,1684633797747,0.15387355,-0.24182716,-0.5835294,0.7598263
Rot,156923528593407,1684633797747,0.1543274,-0.2418514,-0.5832691,0.7599264
Rot,156923538735542,1684633797757,0.15477012,-0.24180345,-0.5829496,0.7600968
Rot,156923538765386,1684633797757,0.15516199,-0.24166648,-0.5826126,0.7603188
Rot,156923549859813,1684633797768,0.155477,-0.24145325,-0.5822811,0.76057607
Rot,156923549891480,1684633797768,0.15569702,-0.24118282,-0.5819785,0.76084846
Rot,156923559741219,1684633797778,0.15580682,-0.2408887,-0.58171386,0.76112145
Rot,156923559762469,1684633797778,0.15578653,-0.24057835,-0.5815495,0.7613493
Rot,156923569210282,1684633797787,0.1556468,-0.24025695,-0.58151513,0.7615056
Rot,156923569226897,1684633797787,0.15543698,-0.23993541,-0.58158416,0.76159716
Rot,156923579685126,1684633797798,0.15517785,-0.23962584,-0.58175284,0.7616186
Rot,156923579705907,1684633797798,0.1549019,-0.23936321,-0.5819602,0.76159894
Rot,156923590555230,1684633797809,0.1546015,-0.23917247,-0.58220375,0.7615338
Rot,156923590578563,1684633797809,0.1543233,-0.23902416,-0.58245957,0.7614412
Rot,156923599246480,1684633797817,0.15407652,-0.23893082,-0.58269405,0.761341
Rot,156923599280282,1684633797817,0.15385857,-0.23889013,-0.58291155,0.76123136
Rot,156923609581584,1684633797828,0.15366334,-0.23891127,-0.58309096,0.7611267
Rot,156923609615022,1684633797828,0.15347439,-0.23898934,-0.58327824,0.7609969
Rot,156923619454553,1684633797838,0.15327674,-0.23913342,-0.5834745,0.76084095
Rot,156923619485178,1684633797838,0.15308519,-0.23934345,-0.58366275,0.76066905
Rot,156923629630751,1684633797848,0.15286545,-0.23961931,-0.58386075,0.76047444
Rot,156923629697261,1684633797848,0.15266429,-0.23994368,-0.5840232,0.7602878
Rot,156923629724136,1684633797848,0.15248552,-0.24029654,-0.5841355,0.760126
Rot,156923639427782,1684633797858,0.15235169,-0.24063574,-0.58418524,0.76000726
Rot,156923639587574,1684633797858,0.15230605,-0.24091963,-0.5841467,0.75995606
Rot,156923649895438,1684633797868,0.15231863,-0.24111685,-0.58407277,0.75994784
Rot,156923649940438,1684633797868,0.15240194,-0.24122342,-0.58395416,0.7599884
Rot,156923659297313,1684633797877,0.15249594,-0.24125701,-0.5838375,0.76004857
Rot,156923659317417,1684633797877,0.15261082,-0.24123004,-0.5837314,0.76011556
Rot,156923668772886,1684633797887,0.15272574,-0.24117081,-0.58361906,0.7601975
Rot,156923668802157,1684633797887,0.15280245,-0.24108939,-0.58355695,0.76025563
Rot,156923678627105,1684633797897,0.15285772,-0.24098384,-0.58352405,0.7603032
Rot,156923678650907,1684633797897,0.15288806,-0.24085519,-0.58352655,0.760336
Rot,156923688698719,1684633797907,0.15289181,-0.2407022,-0.5835766,0.7603453
Rot,156923688720542,1684633797907,0.15286033,-0.2405585,-0.5836546,0.76033723
Rot,156923698699032,1684633797917,0.15279858,-0.2404243,-0.5837734,0.7603009
Rot,156923698742626,1684633797917,0.1526857,-0.24031356,-0.5839384,0.7602318
Rot,156923711979396,1684633797930,0.15253396,-0.24022901,-0.5841281,0.7601433
Rot,156923712017730,1684633797930,0.15232953,-0.24017642,-0.58432424,0.7600501
Rot,156923718783094,1684633797937,0.15206592,-0.24015482,-0.5845136,0.7599641
Rot,156923718798042,1684633797937,0.15170863,-0.24016199,-0.5847175,0.75987643
Rot,156923728753355,1684633797947,0.15127438,-0.24015655,-0.5849472,0.75978786
Rot,156923728771532,1684633797947,0.15077296,-0.24008904,-0.58527714,0.7596548
Rot,156923738640230,1684633797957,0.15024269,-0.2399772,-0.5856684,0.75949365
Rot,156923738668355,1684633797957,0.14966772,-0.23984863,-0.58612394,0.7592963
Rot,156923748727574,1684633797967,0.149063,-0.23971249,-0.58664876,0.75905293
Rot,156923748753771,1684633797967,0.14844693,-0.2395452,-0.5872523,0.75875974
Rot,156923758937001,1684633797977,0.14787325,-0.23935182,-0.58788836,0.75844014
Rot,156923758976480,1684633797977,0.14735518,-0.23912683,-0.5885567,0.75809354
Rot,156923769330959,1684633797988,0.14692536,-0.23889755,-0.5892008,0.75774884
Rot,156923769352469,1684633797988,0.14656116,-0.23868029,-0.5898343,0.75739497
Rot,156923779393511,1684633797998,0.14625536,-0.23848136,-0.59044737,0.75703895
Rot,156923779416115,1684633797998,0.14598322,-0.23830456,-0.59105474,0.75667304
Rot,156923789026011,1684633798007,0.14570872,-0.23815353,-0.59167796,0.7562863
Rot,156923789045751,1684633798007,0.1454306,-0.2380559,-0.5922615,0.7559138
Rot,156923799559605,1684633798018,0.14514098,-0.23801906,-0.59281546,0.75554675
Rot,156923799582053,1684633798018,0.14485683,-0.23806193,-0.59329647,0.7552101
Rot,156923809354865,1684633798028,0.1445716,-0.23818177,-0.59372807,0.7548877
Rot,156923809385803,1684633798028,0.1442814,-0.23836811,-0.59414065,0.75455976
Rot,156923819268563,1684633798037,0.14401539,-0.23860393,-0.59451306,0.75424266
Rot,156923819299240,1684633798037,0.14374997,-0.238865,-0.59489673,0.75390804
Rot,156923829023876,1684633798047,0.143518,-0.2391244,-0.59527606,0.7535705
Rot,156923829108511,1684633798047,0.14331874,-0.23936754,-0.5956708,0.75321925
Rot,156923839694501,1684633798058,0.14316636,-0.23959455,-0.5960612,0.7528671
Rot,156923839720074,1684633798058,0.14304909,-0.23981923,-0.59643143,0.75252455
Rot,156923850277053,1684633798068,0.14295746,-0.24006268,-0.5967755,0.75219154
Rot,156923850290386,1684633798068,0.14288151,-0.2403173,-0.59710157,0.7518658
Rot,156923859657521,1684633798078,0.14282711,-0.24058284,-0.5974057,0.7515496
Rot,156923859683928,1684633798078,0.14281048,-0.24084873,-0.59765965,0.7512656
Rot,156923869259605,1684633798087,0.14282684,-0.24110828,-0.59788334,0.7510012
Rot,156923869292417,1684633798087,0.1429135,-0.24134828,-0.59801996,0.7507988
Rot,156923878982261,1684633798097,0.14303803,-0.24153171,-0.5981516,0.75061125
Rot,156923878996584,1684633798097,0.1432214,-0.2416513,-0.59825665,0.75045407
Rot,156923888743615,1684633798107,0.14345714,-0.24169202,-0.5983579,0.7503151
Rot,156923888757521,1684633798107,0.14373164,-0.24165723,-0.59847444,0.7501809
Rot,156923899050698,1684633798117,0.14404169,-0.24156334,-0.59860015,0.7500513
Rot,156923899167730,1684633798117,0.14437999,-0.24141915,-0.5987481,0.74991465
Rot,156923908898146,1684633798127,0.14474219,-0.2412434,-0.5988907,0.74978745
Rot,156923909056792,1684633798127,0.14509413,-0.24103326,-0.59909546,0.7496235
Rot,156923918682521,1684633798137,0.1454281,-0.24081099,-0.5993396,0.74943495
Rot,156923918738667,1684633798137,0.14572835,-0.24060598,-0.5996013,0.7492331
Rot,156923928925126,1684633798147,0.14598113,-0.24044147,-0.5998706,0.7490211
Rot,156923928998511,1684633798147,0.14616798,-0.24034052,-0.60013914,0.74880195
Rot,156923938801323,1684633798157,0.14626761,-0.24029806,-0.60042953,0.7485633
Rot,156923938925855,1684633798157,0.14630349,-0.24029638,-0.60073334,0.74831307
Rot,156923948899917,1684633798167,0.14627942,-0.24033418,-0.60106516,0.74803907
Rot,156923948953146,1684633798167,0.14622946,-0.24040368,-0.6014023,0.7477555
Rot,156923958560230,1684633798177,0.1461629,-0.24048506,-0.6017769,0.7474409
Rot,156923958687678,1684633798177,0.14609572,-0.24058191,-0.60217196,0.7471046
Rot,156923968748980,1684633798187,0.14604458,-0.24068001,-0.60259587,0.7467411
Rot,156923968775230,1684633798187,0.1460446,-0.24076866,-0.6030016,0.7463849
Rot,156923979958042,1684633798198,0.14611195,-0.24081051,-0.60340285,0.7460339
Rot,156923980008667,1684633798198,0.1462417,-0.24080661,-0.6037865,0.7456992
Rot,156923989967886,1684633798208,0.14641947,-0.24076481,-0.60414326,0.74538887
Rot,156923990169553,1684633798208,0.14664239,-0.24067922,-0.60447013,0.74510765
Rot,156923999857417,1684633798218,0.14688651,-0.24057057,-0.6047646,0.74485564
Rot,156923999882417,1684633798218,0.14714159,-0.24044085,-0.6050448,0.7446196
Rot,156924012421792,1684633798231,0.14741848,-0.24030155,-0.60530174,0.7444009
Rot,156924012473355,1684633798231,0.14770067,-0.24017297,-0.6055279,0.74420255
Rot,156924019909501,1684633798238,0.14797734,-0.2400611,-0.60574865,0.74400395
Rot,156924019934084,1684633798238,0.14828233,-0.23996222,-0.6059426,0.7438172
Rot,156924029738407,1684633798248,0.14860356,-0.23986953,-0.6061348,0.7436264
Rot,156924029781011,1684633798248,0.14894693,-0.23977086,-0.6063144,0.743443
Rot,156924039569240,1684633798258,0.040427975,-0.27945966,-0.854007,0.43696672
Rot,156924039620855,1684633798258,0.04075607,-0.27950665,-0.8541752,0.43657723
Rot,156924049797834,1684633798268,0.041073743,-0.27952692,-0.8543536,0.43618524
Rot,156924049825751,1684633798268,0.041382886,-0.27952522,-0.8545369,0.43579793
Rot,156924060169240,1684633798278,0.041672554,-0.27949595,-0.8547305,0.4354093
