UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165465543336533,1684642339762,0.14566308,0.23778675,9.966406,0.0,0.0,0.0
UAcc,165465543405230,1684642339762,0.12412767,0.22821546,9.930513,0.0,0.0,0.0
UAcc,165465543443824,1684642339762,0.14087744,0.25932217,9.932906,0.0,0.0,0.0
UAcc,165465543485283,1684642339762,0.14087744,0.26650062,9.904192,0.0,0.0,0.0
UAcc,165465543636689,1684642339762,0.15523437,0.23539393,9.91137,0.0,0.0,0.0
UAcc,165465547904189,1684642339766,0.15523437,0.22103699,9.889835,0.0,0.0,0.0
UAcc,165465547999449,1684642339766,0.15284155,0.24735804,9.897014,0.0,0.0,0.0
UAcc,165465550977522,1684642339769,0.14327025,0.24496523,9.877871,0.0,0.0,0.0
UAcc,165465551034710,1684642339769,0.14327025,0.24735804,9.904192,0.0,0.0,0.0
UAcc,165465552862626,1684642339771,0.15523437,0.27128628,9.916156,0.0,0.0,0.0
UAcc,165465555382210,1684642339774,0.19351953,0.28085756,9.925728,0.0,0.0,0.0
UAcc,165465559280491,1684642339777,0.16959131,0.26650062,9.918549,0.0,0.0,0.0
UAcc,165465560025543,1684642339778,0.17198412,0.2545365,9.913763,0.0,0.0,0.0
UAcc,165465562685491,1684642339781,0.16241284,0.2641078,9.925728,0.0,0.0,0.0
UAcc,165465565138460,1684642339783,0.15044872,0.23778675,9.94487,0.0,0.0,0.0
UAcc,165465568959710,1684642339787,0.14327025,0.2114657,9.942477,0.0,0.0,0.0
UAcc,165465569995439,1684642339788,0.15523437,0.22821546,9.923335,0.0,0.0,0.0
UAcc,165465572786428,1684642339791,0.16241284,0.24975087,9.923335,0.0,0.0,0.0
UAcc,165465575110908,1684642339793,0.16719848,0.25932217,9.925728,0.0,0.0,0.0
UAcc,165465578229553,1684642339796,0.1265205,0.24735804,9.928121,0.0,0.0,0.0
UAcc,165465581011949,1684642339799,0.13609178,0.24735804,9.932906,0.0,0.0,0.0
UAcc,165465582789814,1684642339801,0.14087744,0.2545365,9.928121,0.0,0.0,0.0
UAcc,165465584984189,1684642339803,0.14087744,0.25692934,9.930513,0.0,0.0,0.0
UAcc,165465587292314,1684642339805,0.11934203,0.23539393,9.904192,0.0,0.0,0.0
UAcc,165465591107053,1684642339809,0.13369897,0.24017957,9.916156,0.0,0.0,0.0
UAcc,165465592629762,1684642339811,0.11694921,0.24017957,9.897014,0.0,0.0,0.0
UAcc,165465594746428,1684642339813,0.13848461,0.24496523,9.906585,0.0,0.0,0.0
UAcc,165465599830908,1684642339818,0.13609178,0.24496523,9.901799,0.0,0.0,0.0
UAcc,165465600316324,1684642339818,0.1265205,0.2425724,9.918549,0.0,0.0,0.0
UAcc,165465602664449,1684642339821,0.13848461,0.23060828,9.906585,0.0,0.0,0.0
UAcc,165465604723147,1684642339823,0.11694921,0.24017957,9.923335,0.0,0.0,0.0
UAcc,165465608058303,1684642339826,0.13130614,0.2545365,9.920941,0.0,0.0,0.0
UAcc,165465609875230,1684642339828,0.13609178,0.24975087,9.947263,0.0,0.0,0.0
UAcc,165465612229501,1684642339830,0.11934203,0.25692934,9.930513,0.0,0.0,0.0
UAcc,165465615755699,1684642339834,0.12891331,0.25214368,9.923335,0.0,0.0,0.0
UAcc,165465618966428,1684642339837,0.12412767,0.26171497,9.9089775,0.0,0.0,0.0
UAcc,165465619433668,1684642339838,0.13609178,0.26889345,9.928121,0.0,0.0,0.0
UAcc,165465621991012,1684642339840,0.1480559,0.24975087,9.920941,0.0,0.0,0.0
UAcc,165465624296741,1684642339842,0.13369897,0.24975087,9.913763,0.0,0.0,0.0
UAcc,165465627217678,1684642339845,0.14087744,0.2330011,9.906585,0.0,0.0,0.0
UAcc,165465629297366,1684642339847,0.11455639,0.2641078,9.904192,0.0,0.0,0.0
UAcc,165465631493564,1684642339850,0.13130614,0.23060828,9.923335,0.0,0.0,0.0
UAcc,165465634134033,1684642339852,0.12891331,0.23778675,9.916156,0.0,0.0,0.0
UAcc,165465636778460,1684642339855,0.10737792,0.24017957,9.935299,0.0,0.0,0.0
UAcc,165465639065595,1684642339857,0.13609178,0.26650062,9.935299,0.0,0.0,0.0
UAcc,165465641732678,1684642339860,0.15044872,0.24975087,9.923335,0.0,0.0,0.0
UAcc,165465644004814,1684642339862,0.17437695,0.26650062,9.932906,0.0,0.0,0.0
UAcc,165465646832001,1684642339865,0.17916259,0.27367908,9.932906,0.0,0.0,0.0
UAcc,165465649247418,1684642339867,0.18394823,0.25692934,9.932906,0.0,0.0,0.0
UAcc,165465651772053,1684642339870,0.18394823,0.25214368,9.916156,0.0,0.0,0.0
UAcc,165465654037418,1684642339872,0.18873389,0.2952145,9.880263,0.0,0.0,0.0
UAcc,165465656450178,1684642339875,0.18873389,0.2760719,9.880263,0.0,0.0,0.0
UAcc,165465659025699,1684642339877,0.19351953,0.3047858,9.882657,0.0,0.0,0.0
UAcc,165465661553460,1684642339880,0.18873389,0.2952145,9.906585,0.0,0.0,0.0
UAcc,165465664123720,1684642339882,0.20309082,0.27846473,9.901799,0.0,0.0,0.0
UAcc,165465666533095,1684642339885,0.19830517,0.3047858,9.913763,0.0,0.0,0.0
UAcc,165465668626064,1684642339887,0.200698,0.28085756,9.918549,0.0,0.0,0.0
UAcc,165465671194605,1684642339889,0.21026929,0.28803602,9.91137,0.0,0.0,0.0
UAcc,165465674029918,1684642339892,0.19351953,0.28085756,9.925728,0.0,0.0,0.0
UAcc,165465676555595,1684642339895,0.21266212,0.2760719,9.923335,0.0,0.0,0.0
UAcc,165465680098512,1684642339898,0.24376881,0.30957142,9.935299,0.0,0.0,0.0
UAcc,165465681512001,1684642339900,0.23659034,0.328714,9.952048,0.0,0.0,0.0
UAcc,165465683576376,1684642339902,0.22701904,0.30717862,9.937692,0.0,0.0,0.0
UAcc,165465686333355,1684642339905,0.21505493,0.30957142,9.928121,0.0,0.0,0.0
UAcc,165465689432053,1684642339908,0.19591236,0.29042885,9.930513,0.0,0.0,0.0
UAcc,165465691464918,1684642339910,0.20309082,0.2760719,9.930513,0.0,0.0,0.0
UAcc,165465693712730,1684642339912,0.17676978,0.27367908,9.918549,0.0,0.0,0.0
UAcc,165465696261585,1684642339914,0.21984059,0.27846473,9.91137,0.0,0.0,0.0
UAcc,165465698856116,1684642339917,0.20548365,0.27367908,9.897014,0.0,0.0,0.0
UAcc,165465701133512,1684642339919,0.17916259,0.30239296,9.897014,0.0,0.0,0.0
UAcc,165465703442418,1684642339922,0.15523437,0.27367908,9.901799,0.0,0.0,0.0
UAcc,165465706849189,1684642339925,0.1480559,0.26889345,9.865907,0.0,0.0,0.0
UAcc,165465709729241,1684642339928,0.11934203,0.26650062,9.875478,0.0,0.0,0.0
UAcc,165465710820751,1684642339929,0.14087744,0.25692934,9.892228,0.0,0.0,0.0
UAcc,165465713196116,1684642339931,0.13369897,0.25214368,9.894621,0.0,0.0,0.0
UAcc,165465715894449,1684642339934,0.13848461,0.2545365,9.932906,0.0,0.0,0.0
