GameRot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
GameRot,165526231646718,1684642400450,0.20981516,0.18823005,0.6816115,0.6752428
GameRot,165526231712968,1684642400450,0.20987271,0.1882281,0.681611,0.675226
GameRot,165526236581093,1684642400455,0.20994793,0.18821388,0.6816137,0.6752038
GameRot,165526248540416,1684642400467,0.21001743,0.18816546,0.6816266,0.6751826
GameRot,165526248636718,1684642400467,0.21007006,0.18808456,0.68164957,0.67516565
GameRot,165526248965676,1684642400467,0.21008474,0.18802413,0.6816671,0.6751602
GameRot,165526252026093,1684642400470,0.21006359,0.18797372,0.68168235,0.6751654
GameRot,165526255774843,1684642400474,0.2100253,0.18794647,0.68169117,0.675176
GameRot,165526260416874,1684642400479,0.20998482,0.18794188,0.68169326,0.67518777
GameRot,165526266469947,1684642400485,0.2099559,0.18797581,0.6816839,0.6751968
GameRot,165526270366561,1684642400489,0.20991659,0.18804012,0.68167317,0.67520195
GameRot,165526275768645,1684642400494,0.20988789,0.18812329,0.6816492,0.6752119
GameRot,165526281574634,1684642400500,0.20986389,0.18819211,0.6816293,0.67522025
GameRot,165526285335520,1684642400504,0.20981309,0.18827008,0.68160725,0.6752365
GameRot,165526290256822,1684642400508,0.20978376,0.1883269,0.68159103,0.6752462
GameRot,165526296220364,1684642400514,0.20976321,0.18833639,0.6815887,0.6752523
GameRot,165526300563176,1684642400519,0.20973065,0.18835434,0.681584,0.67526215
GameRot,165526305676041,1684642400524,0.20969652,0.18836164,0.68158245,0.6752722
GameRot,165526310988332,1684642400529,0.20963274,0.188367,0.6815821,0.67529094
GameRot,165526316650884,1684642400535,0.20955788,0.18837538,0.68158114,0.6753128
GameRot,165526320210780,1684642400538,0.20947307,0.18841583,0.6815708,0.67533827
GameRot,165526325626457,1684642400544,0.2093666,0.18843865,0.6815661,0.6753697
GameRot,165526329930416,1684642400548,0.20929368,0.18849118,0.681552,0.67539185
GameRot,165526335022186,1684642400553,0.20920555,0.18857317,0.68152934,0.67541903
GameRot,165526339688436,1684642400558,0.20912759,0.18866019,0.68150514,0.6754433
GameRot,165526345310936,1684642400563,0.20906205,0.18874718,0.6814807,0.67546403
GameRot,165526351184270,1684642400569,0.20898461,0.18886347,0.6814478,0.6754887
GameRot,165526355572499,1684642400574,0.20891403,0.18899003,0.68141156,0.6755116
GameRot,165526359591718,1684642400578,0.2088331,0.1890738,0.6813883,0.6755367
GameRot,165526366078957,1684642400584,0.20876016,0.18911485,0.6813776,0.67555857
GameRot,165526369595728,1684642400588,0.20870142,0.18912648,0.68137515,0.67557585
