Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,165526231742447,1684642400450,0.17290273,0.22258207,0.7910934,0.54289323
Rot,165526231746926,1684642400450,0.17291039,0.22260942,0.7910397,0.5429579
Rot,165526248453228,1684642400467,0.17301865,0.22257788,0.790911,0.5431237
Rot,165526248461926,1684642400467,0.17316036,0.22252661,0.79075074,0.54333293
Rot,165526248811093,1684642400467,0.17328419,0.22245483,0.79064536,0.54347616
Rot,165526248851978,1684642400467,0.17337577,0.22236475,0.79060274,0.5435458
Rot,165526254576145,1684642400473,0.17340145,0.22230749,0.7906177,0.5435393
Rot,165526254590468,1684642400473,0.17336252,0.22227524,0.7906999,0.54344535
Rot,165526266356249,1684642400485,0.17329045,0.22227217,0.7908063,0.54331475
Rot,165526266370832,1684642400485,0.17321447,0.2222893,0.79090077,0.5431944
Rot,165526275603072,1684642400494,0.17316605,0.22232838,0.7909272,0.54315543
Rot,165526275626718,1684642400494,0.17311232,0.22238746,0.79092634,0.5431496
Rot,165526285137447,1684642400503,0.17307729,0.222458,0.79088503,0.543192
Rot,165526285207082,1684642400503,0.1730533,0.22251223,0.790838,0.5432459
Rot,165526296197082,1684642400514,0.17298742,0.22258149,0.7908242,0.54325867
Rot,165526296253228,1684642400514,0.1729546,0.22262739,0.79079485,0.54329294
Rot,165526305725051,1684642400524,0.17293137,0.22263406,0.79079676,0.54329485
Rot,165526305755624,1684642400524,0.1728888,0.22265168,0.7908119,0.5432792
Rot,165526316660572,1684642400535,0.17283882,0.22266448,0.79084903,0.5432358
Rot,165526316688436,1684642400535,0.1727362,0.22268863,0.7909469,0.54311603
Rot,165526325584791,1684642400544,0.17261201,0.22272152,0.79106927,0.54296374
Rot,165526325600155,1684642400544,0.17247057,0.22278552,0.7911875,0.54281014
Rot,165526335006197,1684642400553,0.17228678,0.22284696,0.79137105,0.54257566
Rot,165526335033332,1684642400553,0.17216244,0.22291894,0.7914662,0.54244673
Rot,165526345473905,1684642400564,0.17201664,0.22301811,0.79155695,0.54231983
Rot,165526345485311,1684642400564,0.17189127,0.22311525,0.7916179,0.54223067
Rot,165526355605884,1684642400574,0.17179482,0.22320168,0.7916373,0.54219735
Rot,165526355625416,1684642400574,0.17168635,0.22331095,0.79163694,0.5421872
Rot,165526366046561,1684642400584,0.17159082,0.22342536,0.7916137,0.54220426
Rot,165526366066770,1684642400584,0.1714727,0.22351125,0.79165226,0.5421499
Rot,165526366090103,1684642400584,0.17135753,0.22356613,0.79173297,0.54204583
Rot,165526376595311,1684642400595,0.17126076,0.2235953,0.79182327,0.54193246
Rot,165526376610416,1684642400595,0.17124504,0.22357209,0.79187393,0.541873
Rot,165526385701301,1684642400604,0.17126651,0.22353616,0.791892,0.5418547
Rot,165526385753697,1684642400604,0.17130485,0.22350493,0.7918897,0.54185873
Rot,165526394985676,1684642400613,0.17133266,0.22348984,0.79187673,0.54187506
Rot,165526395073228,1684642400613,0.17136438,0.22347687,0.791857,0.54189926
Rot,165526405572968,1684642400624,0.17142797,0.22346269,0.7917946,0.54197615
Rot,165526405587968,1684642400624,0.17150243,0.2234457,0.7917128,0.54207915
Rot,165526414602395,1684642400633,0.1715882,0.22342713,0.7916173,0.54219913
Rot,165526414625936,1684642400633,0.17165245,0.22341102,0.7915391,0.5422996
Rot,165526424679270,1684642400643,0.17168912,0.22340806,0.79148096,0.542374
Rot,165526424702916,1684642400643,0.17168564,0.22342414,0.79145586,0.54240507
Rot,165526434565832,1684642400653,0.17165959,0.22345023,0.79145646,0.54240173
Rot,165526434669270,1684642400653,0.17162172,0.22345625,0.7914981,0.5423504
Rot,165526444844999,1684642400663,0.17163284,0.22345147,0.7914908,0.54235965
Rot,165526444953645,1684642400663,0.17165947,0.22346698,0.7914438,0.5424133
Rot,165526454784166,1684642400673,0.17169744,0.22346848,0.7913895,0.54247993
Rot,165526454803228,1684642400673,0.17168371,0.22349864,0.79137343,0.54249525
Rot,165526464519530,1684642400683,0.17164955,0.22353722,0.79137814,0.5424834
Rot,165526464536926,1684642400683,0.17161056,0.22358611,0.79137754,0.54247636
Rot,165526474561718,1684642400693,0.1715372,0.22364926,0.79140705,0.5424305
Rot,165526474591197,1684642400693,0.17147015,0.22371115,0.7914333,0.54238796
Rot,165526484572291,1684642400703,0.17136964,0.22378755,0.79148054,0.54231924
Rot,165526484680520,1684642400703,0.17123058,0.22388811,0.7915577,0.54220897
Rot,165526494682343,1684642400713,0.17107967,0.2240018,0.79163414,0.54209805
Rot,165526494695259,1684642400713,0.1709086,0.22412807,0.79173225,0.54195654
Rot,165526506087811,1684642400724,0.17076395,0.22424187,0.7918081,0.54184425
Rot,165526506113072,1684642400724,0.1706381,0.22433232,0.79189235,0.5417233
Rot,165526515485624,1684642400734,0.17054398,0.22439861,0.7919647,0.5416197
Rot,165526515497655,1684642400734,0.17048517,0.22445324,0.79200256,0.5415603
Rot,165526525511874,1684642400744,0.17046458,0.22447668,0.79202473,0.5415246
Rot,165526525530416,1684642400744,0.17049834,0.22448109,0.7920015,0.5415461
Rot,165526535173593,1684642400753,0.17053553,0.224482,0.79198205,0.54156244
Rot,165526535208072,1684642400753,0.170585,0.22447778,0.7919468,0.5416001
Rot,165526545028228,1684642400763,0.17060855,0.22449042,0.79192096,0.54162526
Rot,165526545171197,1684642400763,0.1706787,0.22444597,0.79191685,0.5416276
Rot,165526555701457,1684642400774,0.1708845,0.22437498,0.7917714,0.54180473
Rot,165526555742447,1684642400774,0.1710629,0.22429079,0.79165965,0.5419466
Rot,165526565324582,1684642400783,0.171078,0.2242795,0.7916607,0.541945
Rot,165526565475676,1684642400784,0.17111818,0.22428106,0.7916313,0.5419746
Rot,165526575909374,1684642400794,0.17123961,0.22426705,0.7915185,0.54210675
Rot,165526576011509,1684642400794,0.17128162,0.22425933,0.79149634,0.54212904
Rot,165526585136822,1684642400803,0.17129853,0.22423393,0.79152864,0.542087
Rot,165526585524530,1684642400804,0.17136778,0.22423783,0.79147935,0.54213554
Rot,165526595130572,1684642400813,0.17141545,0.22425744,0.7914574,0.5421444
Rot,165526595317291,1684642400813,0.17139663,0.22429165,0.791484,0.54209733
Rot,165526605726405,1684642400824,0.17141128,0.22430225,0.7914861,0.5420853
Rot,165526605748436,1684642400824,0.1716406,0.22420757,0.7913419,0.5422624
Rot,165526617444061,1684642400836,0.1719401,0.22408526,0.7911236,0.54253644
