UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,165636882592092,1684642511101,-0.014354911,-0.005497625,-0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165636882865061,1684642511101,-0.016187452,-0.0061084726,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636882905634,1684642511101,-0.016187452,-0.00671932,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165636883010634,1684642511101,-0.015576605,-0.00671932,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636883047665,1684642511101,-0.016187452,-0.008551862,-0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165636883241363,1684642511101,-0.016187452,-0.007330167,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636889686415,1684642511108,-0.016187452,-0.004275931,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636889770009,1684642511108,-0.016798299,-0.007330167,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636889816728,1684642511108,-0.017409148,-0.004886778,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636891399384,1684642511110,-0.017409148,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636893797353,1684642511112,-0.019241689,-0.0061084726,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636897474957,1684642511116,-0.016187452,-0.004275931,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636899167092,1684642511117,-0.016798299,-0.005497625,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636901074540,1684642511119,-0.016798299,-0.004886778,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165636903303134,1684642511121,-0.016187452,-0.0061084726,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636905621207,1684642511124,-0.014354911,-0.005497625,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636908136571,1684642511126,-0.014965758,-0.0061084726,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636913491884,1684642511132,-0.014965758,-0.004275931,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636913538551,1684642511132,-0.015576605,-0.0061084726,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636915429905,1684642511134,-0.014965758,-0.008551862,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636919198030,1684642511137,-0.016187452,-0.007330167,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636921257613,1684642511139,-0.018019995,-0.008551862,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636923221259,1684642511141,-0.016187452,-0.0061084726,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165636925250165,1684642511143,-0.018630842,-0.005497625,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636929294176,1684642511147,-0.016798299,-0.0061084726,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636931295061,1684642511149,-0.016798299,-0.007941014,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165636933080582,1684642511151,-0.017409148,-0.007330167,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636935327769,1684642511154,-0.015576605,-0.00671932,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636938675790,1684642511157,-0.016187452,-0.007941014,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165636940949019,1684642511159,-0.016187452,-0.008551862,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636942656311,1684642511161,-0.016187452,-0.007941014,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165636945246832,1684642511163,-0.016798299,-0.007330167,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165636950093186,1684642511168,-0.016187452,-0.00671932,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165636950863915,1684642511169,-0.016798299,-0.0061084726,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636952819592,1684642511171,-0.016798299,-0.004886778,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636955255582,1684642511173,-0.014965758,-0.005497625,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636957712144,1684642511176,-0.016798299,-0.004886778,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165636962810478,1684642511181,-0.015576605,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636962891050,1684642511181,-0.015576605,-0.005497625,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165636965032978,1684642511183,-0.015576605,-0.004275931,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165636968829957,1684642511187,-0.015576605,-0.0061084726,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636971527978,1684642511190,-0.014354911,-0.00671932,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636972526884,1684642511191,-0.016187452,-0.0061084726,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636975185582,1684642511193,-0.015576605,-0.004275931,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165636977672769,1684642511196,-0.014354911,-0.0061084726,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636981481311,1684642511200,-0.014965758,-0.005497625,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165636982909019,1684642511201,-0.016187452,-0.005497625,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165636985125373,1684642511203,-0.015576605,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165636987907821,1684642511206,-0.016187452,-0.007330167,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636991266311,1684642511209,-0.016798299,-0.008551862,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165636992062040,1684642511210,-0.016187452,-0.007941014,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165636994769175,1684642511213,-0.016187452,-0.009162709,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165636998647873,1684642511217,-0.016187452,-0.010384403,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165636999630269,1684642511218,-0.016187452,-0.005497625,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165637002806936,1684642511221,-0.016187452,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165637004556832,1684642511223,-0.014354911,-0.007330167,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165637008794488,1684642511227,-0.014965758,-0.0061084726,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165637010085894,1684642511228,-0.015576605,-0.005497625,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165637016477300,1684642511235,-0.012522369,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165637016593550,1684642511235,-0.013133216,-0.0061084726,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165637018351832,1684642511237,-0.013744064,-0.00671932,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165637019638707,1684642511238,-0.014354911,-0.007330167,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165637022210634,1684642511240,-0.014965758,-0.007330167,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165637023966519,1684642511242,-0.014965758,-0.007330167,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165637026626988,1684642511245,-0.015576605,-0.007941014,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165637029172925,1684642511247,-0.016187452,-0.008551862,-0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165637031324800,1684642511249,-0.016187452,-0.008551862,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165637033859905,1684642511252,-0.017409148,-0.007330167,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165637036739123,1684642511255,-0.014354911,-0.009162709,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165637039251571,1684642511257,-0.013744064,-0.008551862,-0.005497625,-0.003604275,-0.013874966,0.0013728924
UGys,165637041273655,1684642511259,-0.015576605,-0.007330167,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165637044052613,1684642511262,-0.014965758,-0.007330167,-0.00671932,-0.003604275,-0.013874966,0.0013728924
UGys,165637046637092,1684642511265,-0.015576605,-0.00671932,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165637048881780,1684642511267,-0.013744064,-0.0061084726,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165637051889696,1684642511270,-0.012522369,-0.007330167,-0.004886778,-0.003604275,-0.013874966,0.0013728924
UGys,165637053976832,1684642511272,-0.014354911,-0.007330167,-0.0061084726,-0.003604275,-0.013874966,0.0013728924
UGys,165637056622925,1684642511275,-0.011300675,-0.007330167,-0.004275931,-0.003604275,-0.013874966,0.0013728924
UGys,165637058635634,1684642511277,-0.01007898,-0.008551862,-0.0036650836,-0.003604275,-0.013874966,0.0013728924
UGys,165637061115061,1684642511279,-0.01007898,-0.009162709,-0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165637063748655,1684642511282,-0.010689827,-0.007330167,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165637066258967,1684642511284,-0.011300675,-0.009162709,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165637069020373,1684642511287,-0.011911522,-0.008551862,-0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165637071271519,1684642511289,-0.011300675,-0.007330167,-0.002443389,-0.003604275,-0.013874966,0.0013728924
UGys,165637073620425,1684642511292,-0.011300675,-0.009162709,-0.0030542363,-0.003604275,-0.013874966,0.0013728924
UGys,165637076766363,1684642511295,-0.011300675,-0.008551862,-0.0012216945,-0.003604275,-0.013874966,0.0013728924
UGys,165637078767873,1684642511297,-0.011300675,-0.012216945,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165637081754905,1684642511300,-0.012522369,-0.012216945,-6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165637083390582,1684642511302,-0.013744064,-0.011606098,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165637086246050,1684642511304,-0.013133216,-0.010384403,0.0018325418,-0.003604275,-0.013874966,0.0013728924
UGys,165637088646728,1684642511307,-0.011911522,-0.012216945,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
UGys,165637091355269,1684642511310,-0.010689827,-0.012827792,6.1084726E-4,-0.003604275,-0.013874966,0.0013728924
